CODGEO;PMUN;annee
57401;47850;2012
03480;68256;2012
33580;29902;2012
41556;78220;2012
2A042;37897;2012
20463;85486;2012
26507;77552;2012
38419;43066;2012
2B287;63815;2012
81502;30855;2012
04268;28685;2012
22025;91572;2012
78274;79146;2012
06121;33229;2012
81069;43380;2012
27075;37182;2012
87418;49333;2012
28303;42980;2012
41324;47310;2012
62447;60969;2012
12329;35362;2012
52378;85870;2012
47052;74318;2012
73510;77275;2012
2B157;34256;2012
62093;73725;2012
39488;82868;2012
38441;34821;2012
39032;74666;2012
77116;46823;2012
30010;78878;2012
16163;58237;2012
32060;81966;2012
03426;31995;2012
10314;50386;2012
09588;42223;2012
72449;40084;2012
68367;45035;2012
65306;51406;2012
43033;30533;2012
67043;73685;2012
15370;62213;2012
85003;82844;2012
47026;71998;2012
89132;33152;2012
15530;26363;2012
47275;53629;2012
65426;57680;2012
47247;39135;2012
42104;81421;2012
16223;65726;2012
36055;76784;2012
23462;30838;2012
29110;83114;2012
64226;36239;2012
59588;55019;2012
57355;54336;2012
34275;82651;2012
91326;43325;2012
09470;39555;2012
32153;45605;2012
11382;48279;2012
32523;35871;2012
91343;34577;2012
35268;37783;2012
86087;55463;2012
47149;47578;2012
66567;49362;2012
43325;73936;2012
25181;38715;2012
72251;88294;2012
95347;75225;2012
25322;33936;2012
73420;45442;2012
25155;34672;2012
67389;41045;2012
74266;48951;2012
42564;30689;2012
69095;22407;2012
26089;53810;2012
08277;72579;2012
09305;44234;2012
42414;87324;2012
85243;48764;2012
12548;88158;2012
43285;40213;2012
66078;63082;2012
19072;82419;2012
68584;24795;2012
29081;95177;2012
77568;50472;2012
54167;58041;2012
51056;71965;2012
17183;71429;2012
44369;22033;2012
81257;89105;2012
02471;68885;2012
71366;97304;2012
46241;59262;2012
67381;69594;2012
62582;56523;2012
41247;90037;2012
29092;85436;2012
59245;91774;2012
14504;59368;2012
55131;83305;2012
09569;49977;2012
61353;58157;2012
59361;80793;2012
08190;26251;2012
71552;77353;2012
39022;21407;2012
74179;67184;2012
04251;58300;2012
17286;55861;2012
46285;58030;2012
18089;61041;2012
31136;53364;2012
62058;57617;2012
14343;64822;2012
64211;81247;2012
10339;63487;2012
17354;73152;2012
55421;85821;2012
74328;100313;2012
16389;28132;2012
28352;75209;2012
88391;37228;2012
2B216;35805;2012
55190;85164;2012
42148;26258;2012
33472;88472;2012
57206;81807;2012
55329;101299;2012
28118;71512;2012
03259;91499;2012
15318;29939;2012
91375;91352;2012
39316;31886;2012
45217;44340;2012
44577;30018;2012
73308;53512;2012
07485;80583;2012
08442;41471;2012
26335;85715;2012
46531;69653;2012
63077;69569;2012
46552;92790;2012
42510;55126;2012
89302;47082;2012
15440;98522;2012
54312;64384;2012
51161;68100;2012
45480;44808;2012
77148;38009;2012
25189;34572;2012
90312;38939;2012
31502;35217;2012
51230;79165;2012
49296;24928;2012
81025;68306;2012
41070;98786;2012
27034;78859;2012
03044;52328;2012
34521;25002;2012
78505;88884;2012
01493;20426;2012
85034;74939;2012
51047;72792;2012
14169;35545;2012
29339;80375;2012
52201;34067;2012
30293;38689;2012
11104;82765;2012
62438;97358;2012
63189;42311;2012
12040;92714;2012
27445;93742;2012
23541;81649;2012
62009;32021;2012
68262;43063;2012
68496;73322;2012
89423;102109;2012
72514;86006;2012
30249;53759;2012
11223;38575;2012
58425;96310;2012
87093;43194;2012
95144;47863;2012
22360;99662;2012
22401;66772;2012
04072;41283;2012
14305;20561;2012
52219;54906;2012
51301;100892;2012
35575;55122;2012
29046;74205;2012
79597;41310;2012
43270;82841;2012
77463;83884;2012
91255;68353;2012
30187;81622;2012
19462;67056;2012
90412;51098;2012
60087;77031;2012
28423;86327;2012
58452;88697;2012
48233;38139;2012
86555;71954;2012
24384;20056;2012
2B117;65620;2012
89007;64600;2012
17405;47685;2012
16126;99762;2012
50454;91448;2012
05315;22974;2012
28280;36419;2012
41099;37706;2012
95427;91680;2012
2B058;62613;2012
15251;77309;2012
84501;86474;2012
09552;82990;2012
70593;26744;2012
80574;31518;2012
84334;52181;2012
21121;46907;2012
85503;81076;2012
11481;32121;2012
49594;49676;2012
44390;40069;2012
30085;34429;2012
03302;33109;2012
72269;34873;2012
32505;67096;2012
62236;51725;2012
39197;53804;2012
35048;59034;2012
09453;80518;2012
69025;89089;2012
70260;63912;2012
36288;69405;2012
25282;79657;2012
01551;75712;2012
89091;30411;2012
90184;101002;2012
23109;33289;2012
03147;52141;2012
12544;70424;2012
07564;51035;2012
79027;40390;2012
84379;92460;2012
15140;26350;2012
70116;38765;2012
17175;102326;2012
35117;79952;2012
56294;26337;2012
67597;78369;2012
83352;99336;2012
05434;27118;2012
19296;52365;2012
27009;58496;2012
29051;31226;2012
2B094;36622;2012
73146;34693;2012
30504;34955;2012
95506;53159;2012
47512;56572;2012
47382;39706;2012
41334;43619;2012
14389;35536;2012
88244;86155;2012
02402;36873;2012
17476;93270;2012
22457;63145;2012
26368;83006;2012
13035;70189;2012
02435;42467;2012
64220;67667;2012
95446;42381;2012
12324;29602;2012
28528;41322;2012
48203;42701;2012
88558;30027;2012
65506;21698;2012
72199;96717;2012
55290;59832;2012
39319;52173;2012
19461;93363;2012
82413;36983;2012
76511;53786;2012
03222;89993;2012
67303;71609;2012
08259;51003;2012
69545;41652;2012
78183;22987;2012
13352;27553;2012
41072;32050;2012
12510;81304;2012
53231;71896;2012
88205;56012;2012
08350;81024;2012
37299;32501;2012
95508;37069;2012
28319;52959;2012
13310;95070;2012
46063;70895;2012
48014;89003;2012
62239;40754;2012
90550;87907;2012
49377;25216;2012
27378;38692;2012
91235;62218;2012
88107;24020;2012
47006;87463;2012
03203;90917;2012
56190;64534;2012
52115;44101;2012
14156;28633;2012
59015;68969;2012
80365;61529;2012
10556;79180;2012
68414;68179;2012
14269;29500;2012
70252;30130;2012
39185;83927;2012
01086;32818;2012
91359;97323;2012
16340;29251;2012
56005;78022;2012
17249;95601;2012
88167;54405;2012
69102;24769;2012
76422;89624;2012
41315;35372;2012
44380;62818;2012
59428;99386;2012
73589;77947;2012
80481;23400;2012
02372;85012;2012
62527;33539;2012
11287;80822;2012
27590;70281;2012
79457;43472;2012
24390;53898;2012
76542;28614;2012
44309;97167;2012
22432;38223;2012
32171;43524;2012
50577;59576;2012
72374;75063;2012
57469;59026;2012
88276;59002;2012
82520;65109;2012
71045;87391;2012
57069;50685;2012
27304;84045;2012
39439;81838;2012
12485;99764;2012
35264;92139;2012
88390;82401;2012
40332;39727;2012
11576;80612;2012
61392;79203;2012
91250;42902;2012
82581;76004;2012
26065;41270;2012
43590;62637;2012
50093;82310;2012
24173;35027;2012
25493;46407;2012
23440;85114;2012
2B339;54712;2012
70450;97794;2012
80382;20417;2012
77208;77657;2012
91003;84230;2012
10075;92670;2012
83179;32880;2012
07025;99299;2012
45305;50593;2012
56466;46845;2012
34577;49477;2012
14294;71024;2012
18525;73261;2012
78591;57874;2012
30516;25865;2012
29279;99683;2012
87195;36669;2012
14586;27558;2012
87145;67798;2012
87247;51703;2012
56045;70266;2012
16476;88615;2012
15390;27042;2012
27051;43501;2012
54133;62668;2012
15333;81731;2012
43324;68816;2012
51160;49118;2012
02554;69716;2012
66267;98190;2012
06493;59428;2012
19143;90100;2012
17023;81659;2012
79033;45006;2012
05224;38853;2012
40571;80083;2012
55030;36405;2012
48222;47219;2012
64066;37677;2012
76559;68817;2012
37405;43213;2012
30428;73244;2012
2A230;97101;2012
47464;86060;2012
69005;96149;2012
83519;21906;2012
74444;55144;2012
81443;38273;2012
50236;95588;2012
05480;78391;2012
46229;46842;2012
17030;64956;2012
84544;69059;2012
23141;58461;2012
22062;59605;2012
24373;24534;2012
60140;55392;2012
54515;48738;2012
90266;85903;2012
39003;91614;2012
27571;81329;2012
05309;22979;2012
01158;87542;2012
35406;51767;2012
88318;54132;2012
49018;93345;2012
85456;86991;2012
10241;24768;2012
09420;50004;2012
79537;82162;2012
10366;61449;2012
05403;40046;2012
38153;63475;2012
88143;87127;2012
65249;37752;2012
10511;78926;2012
79314;80575;2012
80209;90954;2012
76467;43283;2012
85512;37327;2012
2A105;62328;2012
30426;63370;2012
76354;53136;2012
54269;82838;2012
73238;83610;2012
59069;39165;2012
60165;81460;2012
58330;39490;2012
73532;52346;2012
69519;22168;2012
13113;46878;2012
78407;99511;2012
50051;56388;2012
31405;74938;2012
48205;28819;2012
91270;70778;2012
81430;50601;2012
79255;81891;2012
44484;95622;2012
73320;63898;2012
36599;28230;2012
64383;57649;2012
60178;30104;2012
24465;56799;2012
25245;24484;2012
06320;71249;2012
13082;43797;2012
45345;35507;2012
16112;21873;2012
39598;89103;2012
57513;88599;2012
22420;84290;2012
32441;24891;2012
35357;49145;2012
47037;99353;2012
35236;67584;2012
69297;29845;2012
31549;31022;2012
41132;41621;2012
36298;99413;2012
18207;34152;2012
64081;93559;2012
28219;73045;2012
74050;92564;2012
90041;88364;2012
63211;46723;2012
87121;87547;2012
81333;33729;2012
45011;44379;2012
72181;37758;2012
31272;30214;2012
43577;27827;2012
50381;34571;2012
91528;29503;2012
80206;51496;2012
46270;25432;2012
61252;24589;2012
19532;100188;2012
76575;27824;2012
52577;25350;2012
50451;22678;2012
72302;30652;2012
59324;61899;2012
07588;87471;2012
27171;79050;2012
17208;67605;2012
69538;27193;2012
04232;84338;2012
19141;23408;2012
56336;68640;2012
65195;53630;2012
47534;91387;2012
82545;43504;2012
87184;71526;2012
13318;56029;2012
90590;60647;2012
58445;94731;2012
60130;77215;2012
09354;52886;2012
58372;57049;2012
68392;74847;2012
55015;48461;2012
08180;33985;2012
49512;57232;2012
89145;25518;2012
68180;32879;2012
13194;52674;2012
91107;83884;2012
91094;81149;2012
16208;41607;2012
76524;54128;2012
38001;31423;2012
56170;79733;2012
42037;40561;2012
73337;82840;2012
2B088;88516;2012
74475;73295;2012
88351;47615;2012
89470;95939;2012
09381;74845;2012
24263;71967;2012
68516;87786;2012
55286;91740;2012
05570;25455;2012
09596;88688;2012
49353;79684;2012
58405;36817;2012
16154;45658;2012
16488;78112;2012
13403;38118;2012
53541;57270;2012
01160;73203;2012
54472;70496;2012
45282;91948;2012
44111;28253;2012
64103;44276;2012
49337;98814;2012
68192;65155;2012
72062;40434;2012
87256;42649;2012
76392;48187;2012
49192;64936;2012
46573;42369;2012
22467;69914;2012
56308;54818;2012
13560;70828;2012
88260;32283;2012
99000;71546;2012
99001;96674;2012
99002;30872;2012
99003;46832;2012
99004;75810;2012
99005;67691;2012
99006;75988;2012
09507;32747;2014
72072;37100;2014
61471;33153;2014
41071;62000;2014
41433;48355;2014
81053;86990;2014
08293;40226;2014
65395;62006;2014
19437;68206;2014
09251;69590;2014
49553;79894;2014
95464;36713;2014
69125;58333;2014
71403;78441;2014
67438;85450;2014
74200;66473;2014
48443;70106;2014
12539;85365;2014
80490;66466;2014
42457;91055;2014
47381;30953;2014
35163;46655;2014
17477;30677;2014
88219;27774;2014
73319;55668;2014
60189;38563;2014
38188;51647;2014
78095;55387;2014
51576;68715;2014
42089;92409;2014
42052;84075;2014
22561;49404;2014
09333;44494;2014
52263;79776;2014
84442;30897;2014
06230;60793;2014
81077;53218;2014
78438;35883;2014
26106;67092;2014
59332;44458;2014
16569;36447;2014
71561;68064;2014
66217;35694;2014
33468;70872;2014
07367;34738;2014
95288;55073;2014
42084;80527;2014
85226;39387;2014
64391;76115;2014
73591;72828;2014
71003;87133;2014
19430;34553;2014
34507;72018;2014
44570;90458;2014
47254;79917;2014
05071;36484;2014
51163;80700;2014
15510;29883;2014
70526;63703;2014
64382;57499;2014
87074;62310;2014
70074;61716;2014
35287;23921;2014
91353;58077;2014
39020;89752;2014
31411;53700;2014
86327;41173;2014
35008;92620;2014
08058;29094;2014
44273;56585;2014
74433;60648;2014
18495;57748;2014
44259;89479;2014
13177;52574;2014
64581;94898;2014
45275;26339;2014
31189;77333;2014
22265;63518;2014
53008;40563;2014
63181;37803;2014
89309;75931;2014
41551;66562;2014
15443;67874;2014
79468;25839;2014
59327;63750;2014
66067;95181;2014
10235;22707;2014
30598;56371;2014
72027;57503;2014
79527;88823;2014
41411;43550;2014
76171;56593;2014
80467;75505;2014
37502;27064;2014
85026;81392;2014
27064;81144;2014
23399;74369;2014
64599;68194;2014
60015;76383;2014
13399;77862;2014
79082;89568;2014
19390;53607;2014
76374;55734;2014
01055;66965;2014
76408;35015;2014
74538;85970;2014
73518;78445;2014
62018;69829;2014
44148;44118;2014
66145;46568;2014
26272;54393;2014
73086;71212;2014
52512;76741;2014
43466;71870;2014
48485;88334;2014
53119;90765;2014
04009;71392;2014
14546;49451;2014
23174;66645;2014
11394;52172;2014
41545;69116;2014
63022;82561;2014
61004;48695;2014
44004;57393;2014
81094;24996;2014
53031;74247;2014
08492;59349;2014
72363;56617;2014
54588;59327;2014
60481;37761;2014
53577;64732;2014
52143;74254;2014
09173;47019;2014
53509;30868;2014
74147;49403;2014
29035;36116;2014
57401;49027;2014
03480;67629;2014
33580;30313;2014
41556;75952;2014
2A042;38392;2014
20463;86881;2014
26507;77571;2014
38419;40811;2014
2B287;63440;2014
81502;29529;2014
04268;29061;2014
22025;92046;2014
78274;81833;2014
06121;34225;2014
81069;42619;2014
27075;35897;2014
87418;51735;2014
28303;42544;2014
41324;45969;2014
62447;61906;2014
12329;35593;2014
52378;86741;2014
47052;73403;2014
73510;75453;2014
2B157;35373;2014
62093;72275;2014
39488;82225;2014
38441;34797;2014
39032;76264;2014
77116;46947;2014
30010;78047;2014
16163;56900;2014
32060;80265;2014
03426;33348;2014
10314;49832;2014
09588;43068;2014
72449;39607;2014
68367;44057;2014
65306;51262;2014
43033;31930;2014
67043;72808;2014
15370;61776;2014
85003;84230;2014
47026;71642;2014
89132;32474;2014
15530;27156;2014
47275;53908;2014
65426;57342;2014
47247;39513;2014
42104;81294;2014
16223;62971;2014
36055;77890;2014
23462;29286;2014
29110;82638;2014
64226;37139;2014
59588;53948;2014
57355;54214;2014
34275;83764;2014
91326;42138;2014
09470;38402;2014
32153;45547;2014
11382;48723;2014
32523;35639;2014
91343;34667;2014
35268;38286;2014
86087;56853;2014
47149;46510;2014
66567;49326;2014
43325;74087;2014
25181;39679;2014
72251;90892;2014
95347;77304;2014
25322;34143;2014
73420;45805;2014
25155;34956;2014
67389;43069;2014
74266;48170;2014
42564;32329;2014
69095;23577;2014
26089;55213;2014
08277;71149;2014
09305;45042;2014
42414;85939;2014
85243;48469;2014
12548;87705;2014
43285;39556;2014
66078;64826;2014
19072;82414;2014
68584;24616;2014
29081;95223;2014
77568;48268;2014
54167;59560;2014
51056;71503;2014
17183;71895;2014
44369;22265;2014
81257;89425;2014
02471;69385;2014
71366;101359;2014
46241;56314;2014
67381;71064;2014
62582;56772;2014
41247;93262;2014
29092;88586;2014
59245;92749;2014
14504;60334;2014
55131;84916;2014
09569;48069;2014
61353;58068;2014
59361;79366;2014
08190;27094;2014
71552;77028;2014
39022;21701;2014
74179;66424;2014
04251;58554;2014
17286;58966;2014
46285;59252;2014
18089;58357;2014
31136;51297;2014
62058;56410;2014
14343;65889;2014
64211;81664;2014
10339;62390;2014
17354;69376;2014
55421;88991;2014
74328;100323;2014
16389;28026;2014
28352;75067;2014
88391;37242;2014
2B216;36400;2014
55190;84556;2014
42148;25707;2014
33472;88567;2014
57206;83400;2014
55329;98589;2014
28118;72651;2014
03259;89430;2014
15318;30348;2014
91375;91491;2014
39316;32918;2014
45217;45985;2014
44577;29670;2014
73308;51836;2014
07485;80596;2014
08442;42659;2014
26335;83996;2014
46531;68305;2014
63077;72025;2014
46552;96390;2014
42510;54919;2014
89302;46877;2014
15440;97695;2014
54312;64072;2014
51161;68151;2014
45480;44511;2014
77148;37727;2014
25189;34258;2014
90312;37136;2014
31502;35207;2014
51230;81021;2014
49296;24137;2014
81025;68854;2014
41070;95269;2014
27034;79715;2014
03044;50910;2014
34521;24473;2014
78505;88683;2014
01493;19712;2014
85034;74801;2014
51047;73953;2014
14169;35418;2014
29339;79215;2014
52201;33050;2014
30293;37017;2014
11104;85016;2014
62438;101092;2014
63189;40948;2014
12040;93551;2014
27445;95753;2014
23541;82917;2014
62009;31709;2014
68262;43965;2014
68496;75987;2014
89423;100423;2014
72514;85957;2014
30249;54546;2014
11223;38602;2014
58425;99459;2014
87093;43328;2014
95144;47624;2014
22360;95540;2014
22401;66004;2014
04072;40727;2014
14305;20521;2014
52219;53047;2014
51301;100703;2014
35575;56104;2014
29046;74112;2014
79597;40801;2014
43270;83825;2014
77463;80140;2014
91255;67620;2014
30187;81216;2014
19462;67644;2014
90412;50245;2014
60087;77308;2014
28423;85541;2014
58452;87113;2014
48233;36020;2014
86555;74709;2014
24384;19764;2014
2B117;66867;2014
89007;66614;2014
17405;50155;2014
16126;97482;2014
50454;91193;2014
05315;23480;2014
28280;36740;2014
41099;35827;2014
95427;89594;2014
2B058;61903;2014
15251;78297;2014
84501;86980;2014
09552;83039;2014
70593;27487;2014
80574;32129;2014
84334;52220;2014
21121;45918;2014
85503;77744;2014
11481;33113;2014
49594;49307;2014
44390;39915;2014
30085;34301;2014
03302;33212;2014
72269;36223;2014
32505;66507;2014
62236;53966;2014
39197;53504;2014
35048;57939;2014
09453;79980;2014
69025;91179;2014
70260;61141;2014
36288;71809;2014
25282;77392;2014
01551;76348;2014
89091;30053;2014
90184;101597;2014
23109;32372;2014
03147;53535;2014
12544;73408;2014
07564;51509;2014
79027;38869;2014
84379;94408;2014
15140;25923;2014
70116;40194;2014
17175;99918;2014
35117;76853;2014
56294;27644;2014
67597;78757;2014
83352;97941;2014
05434;28524;2014
19296;54440;2014
27009;56313;2014
29051;30002;2014
2B094;36264;2014
73146;33568;2014
30504;35312;2014
95506;52352;2014
47512;56304;2014
47382;38829;2014
41334;43648;2014
14389;35983;2014
88244;83029;2014
02402;36064;2014
17476;91792;2014
22457;63602;2014
26368;85529;2014
13035;72526;2014
02435;42426;2014
64220;68227;2014
95446;42886;2014
12324;29063;2014
28528;40522;2014
48203;42150;2014
88558;31299;2014
65506;22246;2014
72199;94272;2014
55290;62486;2014
39319;53388;2014
19461;96934;2014
82413;37878;2014
76511;53756;2014
03222;89232;2014
67303;71210;2014
08259;51723;2014
69545;41297;2014
78183;23170;2014
13352;26941;2014
41072;33938;2014
12510;81682;2014
53231;71745;2014
88205;54090;2014
08350;82422;2014
37299;32544;2014
95508;36507;2014
28319;51037;2014
13310;90906;2014
46063;67229;2014
48014;89267;2014
62239;39399;2014
90550;85345;2014
49377;25150;2014
27378;37514;2014
91235;60165;2014
88107;24685;2014
47006;89023;2014
03203;88824;2014
56190;63441;2014
52115;43431;2014
14156;28255;2014
59015;71471;2014
80365;61616;2014
10556;79112;2014
68414;68728;2014
14269;29630;2014
70252;29073;2014
39185;83310;2014
01086;32953;2014
91359;93469;2014
16340;29027;2014
56005;76415;2014
17249;97033;2014
88167;56089;2014
69102;24704;2014
76422;90675;2014
41315;35374;2014
44380;62742;2014
59428;100979;2014
73589;79909;2014
80481;23564;2014
02372;87007;2014
62527;32423;2014
11287;81193;2014
27590;68756;2014
79457;42977;2014
24390;54661;2014
76542;29652;2014
44309;96482;2014
22432;38941;2014
32171;45530;2014
50577;62024;2014
72374;73643;2014
57469;58920;2014
88276;59925;2014
82520;66570;2014
71045;86346;2014
57069;52735;2014
27304;86771;2014
39439;82533;2014
12485;96282;2014
35264;90418;2014
88390;83948;2014
40332;39679;2014
11576;81185;2014
61392;79672;2014
91250;42929;2014
82581;74556;2014
26065;41166;2014
43590;61341;2014
50093;83226;2014
24173;35852;2014
25493;46556;2014
23440;83313;2014
2B339;57319;2014
70450;97383;2014
80382;21173;2014
77208;77609;2014
91003;85027;2014
10075;90865;2014
83179;31949;2014
07025;98970;2014
45305;50417;2014
56466;48029;2014
34577;47813;2014
14294;69014;2014
18525;72634;2014
78591;58422;2014
30516;25432;2014
29279;100571;2014
87195;36965;2014
14586;26829;2014
87145;69558;2014
87247;54329;2014
56045;68856;2014
16476;89610;2014
15390;28370;2014
27051;42802;2014
54133;59916;2014
15333;81104;2014
43324;66544;2014
51160;51474;2014
02554;69224;2014
66267;97215;2014
06493;57219;2014
19143;88633;2014
17023;83589;2014
79033;45126;2014
05224;40034;2014
40571;82950;2014
55030;36121;2014
48222;47189;2014
64066;38686;2014
76559;66814;2014
37405;43498;2014
30428;74190;2014
2A230;92237;2014
47464;86248;2014
69005;97982;2014
83519;22338;2014
74444;56413;2014
81443;36870;2014
50236;95382;2014
05480;75351;2014
46229;45006;2014
17030;63613;2014
84544;68265;2014
23141;60110;2014
22062;59085;2014
24373;24359;2014
60140;57783;2014
54515;48137;2014
90266;85995;2014
39003;87469;2014
27571;78544;2014
05309;22574;2014
01158;88454;2014
35406;50797;2014
88318;53257;2014
49018;94786;2014
85456;89054;2014
10241;23668;2014
09420;47734;2014
79537;79114;2014
10366;64503;2014
05403;41352;2014
38153;60500;2014
88143;87118;2014
65249;37846;2014
10511;78620;2014
79314;80308;2014
80209;90780;2014
76467;44762;2014
85512;36396;2014
2A105;65611;2014
30426;63504;2014
76354;53496;2014
54269;84515;2014
73238;83773;2014
59069;38819;2014
60165;83626;2014
58330;39186;2014
73532;53744;2014
69519;22158;2014
13113;47889;2014
78407;95213;2014
50051;54508;2014
31405;77198;2014
48205;28499;2014
91270;69403;2014
81430;50505;2014
79255;79672;2014
44484;94356;2014
73320;61363;2014
36599;27787;2014
64383;58761;2014
60178;30478;2014
24465;54878;2014
25245;25357;2014
06320;72466;2014
13082;45683;2014
45345;36299;2014
16112;21193;2014
39598;92524;2014
57513;86870;2014
22420;83522;2014
32441;24505;2014
35357;47843;2014
47037;97738;2014
35236;67869;2014
69297;30117;2014
31549;30878;2014
41132;42186;2014
36298;96272;2014
18207;32583;2014
64081;94166;2014
28219;76265;2014
74050;94775;2014
90041;85604;2014
63211;46695;2014
87121;87948;2014
81333;34305;2014
45011;42244;2014
72181;37756;2014
31272;30868;2014
43577;26436;2014
50381;34169;2014
91528;28800;2014
80206;51791;2014
46270;25590;2014
61252;25224;2014
19532;96219;2014
76575;27490;2014
52577;25896;2014
50451;22977;2014
72302;30641;2014
59324;63311;2014
07588;86849;2014
27171;78888;2014
17208;68205;2014
69538;26793;2014
04232;83882;2014
19141;22340;2014
56336;71137;2014
65195;54048;2014
47534;92743;2014
82545;44562;2014
87184;70958;2014
13318;56227;2014
90590;61158;2014
58445;97597;2014
60130;75866;2014
09354;51806;2014
58372;56701;2014
68392;75928;2014
55015;47272;2014
08180;33068;2014
49512;59066;2014
89145;25567;2014
68180;34568;2014
13194;53152;2014
91107;83292;2014
91094;81086;2014
16208;40685;2014
76524;52341;2014
38001;31314;2014
56170;80192;2014
42037;40294;2014
73337;83644;2014
2B088;87459;2014
74475;74880;2014
88351;46490;2014
89470;97823;2014
09381;76247;2014
24263;73120;2014
68516;86984;2014
55286;90288;2014
05570;26739;2014
09596;92923;2014
49353;81410;2014
58405;36505;2014
16154;45321;2014
16488;82579;2014
13403;37163;2014
53541;55063;2014
01160;76618;2014
54472;72948;2014
45282;90807;2014
44111;28615;2014
64103;43740;2014
49337;100161;2014
68192;66609;2014
72062;39071;2014
87256;42452;2014
76392;47827;2014
49192;62859;2014
46573;42758;2014
22467;69940;2014
56308;55084;2014
13560;70049;2014
88260;31544;2014
99000;71046;2014
99001;94802;2014
99002;30819;2014
99003;47227;2014
99004;74134;2014
99005;70644;2014
99006;72594;2014
09507;33799;2016
72072;35227;2016
61471;32951;2016
41071;62240;2016
41433;48328;2016
81053;86736;2016
08293;40285;2016
65395;59603;2016
19437;68114;2016
09251;68587;2016
49553;79911;2016
95464;35734;2016
69125;60599;2016
71403;81241;2016
67438;83797;2016
74200;66851;2016
48443;69543;2016
12539;85437;2016
80490;69065;2016
42457;91757;2016
47381;32213;2016
35163;48040;2016
17477;31073;2016
88219;28699;2016
73319;57055;2016
60189;39041;2016
38188;52512;2016
78095;52422;2016
51576;65822;2016
42089;89547;2016
42052;82853;2016
22561;50822;2016
09333;46378;2016
52263;76590;2016
84442;30888;2016
06230;60506;2016
81077;53926;2016
78438;36231;2016
26106;65650;2016
59332;45185;2016
16569;36513;2016
71561;70339;2016
66217;35482;2016
33468;70510;2016
07367;33242;2016
95288;54353;2016
42084;79221;2016
85226;39480;2016
64391;79229;2016
73591;73824;2016
71003;87886;2016
19430;34943;2016
34507;76139;2016
44570;89574;2016
47254;79051;2016
05071;35061;2016
51163;84002;2016
15510;30166;2016
70526;63630;2016
64382;59167;2016
87074;61584;2016
70074;60798;2016
35287;24070;2016
91353;59948;2016
39020;92152;2016
31411;53381;2016
86327;41474;2016
35008;96823;2016
08058;29437;2016
44273;57361;2016
74433;60772;2016
18495;55647;2016
44259;90948;2016
13177;52758;2016
64581;90496;2016
45275;27640;2016
31189;76837;2016
22265;64167;2016
53008;40564;2016
63181;39650;2016
89309;75879;2016
41551;67011;2016
15443;65361;2016
79468;26101;2016
59327;67274;2016
66067;92039;2016
10235;23209;2016
30598;55072;2016
72027;58012;2016
79527;88210;2016
41411;41415;2016
76171;57201;2016
80467;74978;2016
37502;26332;2016
85026;82388;2016
27064;80223;2016
23399;72527;2016
64599;69299;2016
60015;76726;2016
13399;77961;2016
79082;90382;2016
19390;52469;2016
76374;54529;2016
01055;69848;2016
76408;37010;2016
74538;84687;2016
